insitu_date;product_sensing_start;product_name;product_uuid;product_satellite;product_sensor;L2_file;station;lat;lon
22.08.2018;2018-08-22T09:53:44.032217Z;S3B_OL_1_EFR____20180822T095344_20180822T095644_20240620T212552_0179_012_022_2160_MAR_R_NT_004.SEN3;29d2096a-d315-3d42-9fe3-ba5cad2e0d0a;S3B;OLCI;France_Geneva_chlorophyll_a_20180822.nc;SHL2;46.453457;6.5942335
26.09.2018;2018-09-26T09:46:49.318908Z;S3A_OL_1_EFR____20180926T094649_20180926T094949_20240531T061425_0179_036_136_2160_MAR_R_NT_004.SEN3;d59717c8-494f-3a0a-9fa7-2db3a4537fef;S3A;OLCI;France_Geneva_chlorophyll_a_20180926.nc;SHL2;46.453457;6.5942335
26.09.2018;2018-09-26T09:46:18.198346Z;S3B_OL_1_EFR____20180926T094618_20180926T094918_20240621T000822_0179_013_136_2160_MAR_R_NT_004.SEN3;a86ae0b5-b12c-32d6-aa4f-b50b3f7b8422;S3B;OLCI;France_Geneva_chlorophyll_a_20180926.nc;SHL2;46.453457;6.5942335
24.10.2018;2018-10-24T09:20:40.350514Z;S3A_OL_1_EFR____20181024T092040_20181024T092340_20240531T085758_0179_037_150_2160_MAR_R_NT_004.SEN3;b7c97a5a-1557-390a-9632-53f6f6cf2f35;S3A;OLCI;France_Geneva_chlorophyll_a_20181024.nc;SHL2;46.453457;6.5942335
24.10.2018;2018-10-24T09:17:33.233551Z;S3B_OL_1_EFR____20181024T091733_20181024T092033_20240621T022922_0180_015_150_2160_MAR_R_NT_004.SEN3;f4f9bd6e-9257-3596-99b7-3bb269ab6790;S3B;OLCI;France_Geneva_chlorophyll_a_20181024.nc;SHL2;46.453457;6.5942335
12.11.2018;2018-11-12T09:28:08.280841Z;S3A_OL_1_EFR____20181112T092808_20181112T093108_20240531T094016_0179_038_036_2160_MAR_R_NT_004.SEN3;1d01e881-8b2a-3472-8451-da66f31b500f;S3A;OLCI;France_Geneva_chlorophyll_a_20181112.nc;SHL2;46.453457;6.5942335
28.11.2018;2018-11-28T10:14:35.661567Z;S3B_OL_1_EFR____20181128T101436_20181128T101736_20240621T074834_0179_019_122_2160_MAR_R_NT_004.SEN3;64ad4419-c8fb-380e-bb66-60b05dd8a27f;S3B;OLCI;France_Geneva_chlorophyll_a_20181128.nc;SHL2;46.453457;6.5942335
18.12.2018;2018-12-18T09:55:52.846109Z;S3B_OL_1_EFR____20181218T095553_20181218T095853_20240525T053651_0179_020_022_2160_MAR_R_NT_004.SEN3;50882afe-a27e-3e0a-993b-7ba3db882f2f;S3B;OLCI;France_Geneva_chlorophyll_a_20181218.nc;SHL2;46.453457;6.5942335
15.01.2019;2019-01-15T10:09:15.003644Z;S3A_OL_1_EFR____20190115T100915_20190115T101215_20240531T135711_0179_040_179_2160_MAR_R_NT_004.SEN3;22580231-68c1-33d5-ae9d-d46c70b5ad1a;S3A;OLCI;France_Geneva_chlorophyll_a_20190115.nc;SHL2;46.453457;6.5942335
15.01.2019;2019-01-15T09:29:44.578822Z;S3B_OL_1_EFR____20190115T092945_20190115T093245_20240525T071958_0179_021_036_2160_MAR_R_NT_004.SEN3;1d896ccc-96c7-3ebd-9015-1cc438770464;S3B;OLCI;France_Geneva_chlorophyll_a_20190115.nc;SHL2;46.453457;6.5942335
14.02.2019;2019-02-14T09:52:10.856384Z;S3B_OL_1_EFR____20190214T095211_20190214T095511_20240525T085119_0179_022_079_2160_MAR_R_NT_004.SEN3;07e837e4-5a00-3540-bd0a-73e0388160a5;S3B;OLCI;France_Geneva_chlorophyll_a_20190214.nc;SHL2;46.453457;6.5942335
06.03.2019;2019-03-06T09:33:32.739871Z;S3B_OL_1_EFR____20190306T093333_20190306T093633_20240525T065100_0179_022_364_2160_MAR_R_NT_004.SEN3;815976d4-eb51-3542-9b5a-5b48f21c7c70;S3B;OLCI;France_Geneva_chlorophyll_a_20190306.nc;SHL2;46.453457;6.5942335
06.03.2019;2019-03-06T10:12:58.946914Z;S3A_OL_1_EFR____20190306T101259_20190306T101559_20240531T174602_0180_042_122_2160_MAR_R_NT_004.SEN3;c95912f4-da4a-3c72-9fef-2f6772611cfc;S3A;OLCI;France_Geneva_chlorophyll_a_20190306.nc;SHL2;46.453457;6.5942335
21.03.2019;2019-03-21T09:44:47.910731Z;S3B_OL_1_EFR____20190321T094448_20190321T094748_20240525T090120_0180_023_193_2160_MAR_R_NT_004.SEN3;86aa65fa-1990-300c-a773-d26158c6c640;S3B;OLCI;France_Geneva_chlorophyll_a_20190321.nc;SHL2;46.453457;6.5942335
21.03.2019;2019-03-21T10:24:12.890090Z;S3A_OL_1_EFR____20190321T102413_20190321T102713_20240531T185343_0179_042_336_2160_MAR_R_NT_004.SEN3;77809af3-ae43-3de6-bac6-09494b7a8aef;S3A;OLCI;France_Geneva_chlorophyll_a_20190321.nc;SHL2;46.453457;6.5942335
01.04.2019;2019-04-01T09:59:46.378138Z;S3B_OL_1_EFR____20190401T095946_20190401T100246_20240525T105817_0179_023_350_2160_MAR_R_NT_004.SEN3;9909f0dc-c6b0-3900-b6b7-3b8964cef515;S3B;OLCI;France_Geneva_chlorophyll_a_20190401.nc;SHL2;46.453457;6.5942335
23.04.2019;2019-04-23T09:28:12.541608Z;S3A_OL_1_EFR____20190423T092813_20190423T093113_20240531T210713_0179_044_036_2160_MAR_R_NT_004.SEN3;814db71c-ece2-3f47-a80a-47e0a4cdd124;S3A;OLCI;France_Geneva_chlorophyll_a_20190423.nc;SHL2;46.453457;6.5942335
20.05.2019;2019-05-20T09:28:13.798006Z;S3A_OL_1_EFR____20190520T092814_20190520T093114_20240531T225139_0179_045_036_2160_MAR_R_NT_004.SEN3;c2c7161a-4033-3d43-b91b-e25064451735;S3A;OLCI;France_Geneva_chlorophyll_a_20190520.nc;SHL2;46.453457;6.5942335
03.06.2019;2019-06-03T10:05:37.286737Z;S3A_OL_1_EFR____20190603T100537_20190603T100837_20240531T233001_0179_045_236_2160_MAR_R_NT_004.SEN3;12e1fc5a-74d7-3e86-bbf7-ef753b558d9b;S3A;OLCI;France_Geneva_chlorophyll_a_20190603.nc;SHL2;46.453457;6.5942335
03.06.2019;2019-06-03T09:26:00.478020Z;S3B_OL_1_EFR____20190603T092600_20190603T092900_20240525T104039_0179_026_093_2160_MAR_R_NT_004.SEN3;a852bd85-4844-369b-9622-437a86821544;S3B;OLCI;France_Geneva_chlorophyll_a_20190603.nc;SHL2;46.453457;6.5942335
26.06.2019;2019-06-26T09:29:44.143158Z;S3B_OL_1_EFR____20190626T092944_20190626T093244_20240525T120220_0179_027_036_2160_MAR_R_NT_004.SEN3;e0e4eb96-6fa2-3998-ae01-b57137bb1045;S3B;OLCI;France_Geneva_chlorophyll_a_20190626.nc;SHL2;46.453457;6.5942335
26.06.2019;2019-06-26T10:09:21.302654Z;S3A_OL_1_EFR____20190626T100921_20190626T101221_20240601T012859_0179_046_179_2160_MAR_R_NT_004.SEN3;0696e720-845e-3229-a519-214b1ca8577b;S3A;OLCI;France_Geneva_chlorophyll_a_20190626.nc;SHL2;46.453457;6.5942335
