wavelength_nm,absorption
400,0.031279712659926656
401,0.030955225096928315
402,0.03107372632730119
403,0.031482214547427806
404,0.03202768795369072
405,0.03255714474247245
406,0.03292334519567856
407,0.03309021246212765
408,0.0331221180842582
409,0.03308704589256221
410,0.03305297971753162
411,0.033087891260029
412,0.033227400275376046
413,0.033404476140604655
414,0.03353187067819616
415,0.033555194833927514
416,0.03350097917220132
417,0.033407988265342366
418,0.033314986685675445
419,0.03325634792912903
420,0.033233584893010155
421,0.03323332115643802
422,0.03324210654354676
423,0.033246490878470564
424,0.03323498681836147
425,0.03321643897121412
426,0.03321171791032467
427,0.033241850856446695
428,0.03332786503033372
429,0.03349078765273927
430,0.03373765254946788
431,0.03399347060617462
432,0.03415451164442368
433,0.03418397668914723
434,0.03415114289700078
435,0.03413468250383505
436,0.03421169265468554
437,0.03435532177075566
438,0.034371919691550484
439,0.03405280320287303
440,0.03328282149394411
441,0.03271367909628464
442,0.03239000859546956
443,0.03202729972524538
444,0.031534501635420306
445,0.030915833354035558
446,0.030208595311087865
447,0.029518793233725554
448,0.028952578426627268
449,0.028517151264694222
450,0.028156424630363323
451,0.0278141280745373
452,0.027468276216277482
453,0.027142224438956197
454,0.026862440496955735
455,0.026651448436898626
456,0.02649772475399174
457,0.02637233193349555
458,0.02624619199428273
459,0.026090227017308877
460,0.025884348435477253
461,0.025642391646314593
462,0.02538619311821112
463,0.025137589319557035
464,0.024915723342267094
465,0.024706515961628213
466,0.024473510024254866
467,0.024179830616365094
468,0.023805039260605173
469,0.023392554891921286
470,0.02300128930522909
471,0.022671601071210207
472,0.022388247412494774
473,0.022125613831656895
474,0.021858085831270666
475,0.021562602162262582
476,0.021240020664538402
477,0.020904273020139218
478,0.02056942375515213
479,0.020249389262569348
480,0.019950653208036906
481,0.019668945448510305
482,0.019399154952736395
483,0.019136980195059067
484,0.018885959483081975
485,0.0186540311136541
486,0.01844918211257783
487,0.018278389616075617
488,0.01813868567143117
489,0.018021446897479136
490,0.017917984613395967
491,0.017819610138358113
492,0.017717634791542022
493,0.017603369892124132
494,0.01746879120314633
495,0.017310847016801006
496,0.017128738771301843
497,0.016921679067383608
498,0.016688881144011635
499,0.0164326061864551
500,0.016165211932888567
501,0.01590113234349921
502,0.01564965884467714
503,0.015406880717092604
504,0.01516679810938717
505,0.014923411170202414
506,0.014670720402140486
507,0.014405443942364465
508,0.014133566150905424
509,0.013863044588932394
510,0.013601836817614395
