wavelength_nm,absorption
400,0.0312797126599266
401,0.0309552250969283
402,0.0310737263273011
403,0.0314822145474278
404,0.0320276879536907
405,0.0325571447424724
406,0.0329233451956785
407,0.0330902124621276
408,0.0331221180842582
409,0.0330870458925622
410,0.0330529797175316
411,0.033087891260029
412,0.033227400275376
413,0.0334044761406046
414,0.0335318706781961
415,0.0335551948339275
416,0.0335009791722013
417,0.0334079882653423
418,0.0333149866856754
419,0.033256347929129
420,0.0332335848930101
421,0.033233321156438
422,0.0332421065435467
423,0.0332464908784705
424,0.0332349868183614
425,0.0332164389712141
426,0.0332117179103246
427,0.0332418508564466
428,0.0333278650303337
429,0.0334907876527392
430,0.0337376525494678
431,0.0339934706061746
432,0.0341545116444236
433,0.0341839766891472
434,0.0341511428970007
435,0.034134682503835
436,0.0342116926546855
437,0.0343553217707556
438,0.0343719196915504
439,0.034052803202873
440,0.0332828214939441
441,0.0327136790962846
442,0.0323900085954695
443,0.0320272997252453
444,0.0315345016354203
445,0.0309158333540355
446,0.0302085953110878
447,0.0295187932337255
448,0.0289525784266272
449,0.0285171512646942
450,0.0281564246303633
451,0.0278141280745373
452,0.0274682762162774
453,0.0271422244389561
454,0.0268624404969557
455,0.0266514484368986
456,0.0264977247539917
457,0.0263723319334955
458,0.0262461919942827
459,0.0260902270173088
460,0.0258843484354772
461,0.0256423916463145
462,0.0253861931182111
463,0.025137589319557
464,0.024915723342267
465,0.0247065159616282
466,0.0244735100242548
467,0.024179830616365
468,0.0238050392606051
469,0.0233925548919212
470,0.023001289305229
471,0.0226716010712102
472,0.0223882474124947
473,0.0221256138316568
474,0.0218580858312706
475,0.0215626021622625
476,0.0212400206645384
477,0.0209042730201392
478,0.0205694237551521
479,0.0202493892625693
480,0.0199506532080369
481,0.0196689454485103
482,0.0193991549527363
483,0.019136980195059
484,0.0188859594830819
485,0.0186540311136541
486,0.0184491821125778
487,0.0182783896160756
488,0.0181386856714311
489,0.0180214468974791
490,0.0179179846133959
491,0.0178196101383581
492,0.017717634791542
493,0.0176033698921241
494,0.0174687912031463
495,0.017310847016801
496,0.0171287387713018
497,0.0169216790673836
498,0.0166888811440116
499,0.0164326061864551
500,0.0161652119328885
501,0.0159011323434992
502,0.0156496588446771
503,0.0154068807170926
504,0.0151667981093871
505,0.0149234111702024
506,0.0146707204021404
507,0.0144054439423644
508,0.0141335661509054
509,0.0138630445889323
510,0.0136018368176143
511,0.0133579003981204
512,0.0131385787719037
513,0.012941737176809
514,0.0127577937372511
515,0.0125769660967192
516,0.0123901947642479
517,0.0121997964559531
518,0.012017140862361
519,0.0118538482793585
520,0.0117182513433082
521,0.0116032429161972
522,0.0114971873879588
523,0.0113884485581649
524,0.0112653902263875
525,0.011116390527579
526,0.0109410794518859
527,0.0107705030168807
528,0.0106411476719426
529,0.0105894769475096
530,0.010631876476046
531,0.0107278779463366
532,0.0108270196115229
533,0.010880056594121
534,0.0108691992163827
535,0.0108101690367239
536,0.0107203162070684
537,0.0106169908793403
538,0.0105162868897593
539,0.010423093488495
540,0.0103364142771637
541,0.0102552006301463
542,0.0101784039218236
543,0.0101049755265765
544,0.0100339623600774
545,0.0099649013362543
546,0.00989748602722
547,0.0098314100746177
548,0.0097663671200903
549,0.0097020508052808
550,0.0096381547718323
551,0.0095743726613879
552,0.0095103981155905
553,0.009445978635166
554,0.0093812405044076
555,0.0093164725222328
556,0.0092519641108553
557,0.0091880046924888
558,0.0091248836893471
559,0.0090628905236438
560,0.0090023146175928
561,0.0089434453934076
562,0.0088865722733021
563,0.0088319846794899
564,0.0087799720341848
565,0.0087308236099449
566,0.0086843506193523
567,0.008638825511146
568,0.0085922117373448
569,0.0085424727499673
570,0.0084875720010323
571,0.0084254729425586
572,0.0083541390265649
573,0.0082715337050699
574,0.0081756204300923
575,0.0080652547817979
576,0.0079522882587508
577,0.0078583991396389
578,0.0078055084386003
579,0.0078153872884739
580,0.0078892793101198
581,0.0079872046526151
582,0.0080642522522475
583,0.0080781438937899
584,0.0080264567398617
585,0.0079376857679535
586,0.0078411350838319
587,0.0077647553668013
588,0.0077156090673432
589,0.0076843467084824
590,0.0076611770028275
591,0.0076363300996623
592,0.0076034746870782
593,0.0075634684357073
594,0.0075180710464052
595,0.0074690422200273
596,0.0074181416574293
597,0.0073671290594665
598,0.0073177641269946
599,0.0072717461487254
600,0.0072304865240898
601,0.0071953109899031
602,0.0071675452686852
603,0.0071485150829563
604,0.0071395461552362
605,0.0071419642080451
606,0.0071570798841868
607,0.0071849996719358
608,0.0072237674678845
609,0.0072712246539176
610,0.0073252126119199
611,0.0073835727237759
612,0.0074441463713705
613,0.0075047749365881
614,0.0075632998013137
615,0.0076176926434143
616,0.0076682376253252
617,0.007717205072347
618,0.0077669298676407
619,0.0078197468943672
620,0.0078779910356872
621,0.0079439971747617
622,0.0080196949461515
623,0.0081018311401398
624,0.008183570180141
625,0.008258005086979
626,0.0083182288814776
627,0.0083573460470796
628,0.0083716624924583
629,0.0083650490436275
630,0.0083424688970464
631,0.0083088852491745
632,0.0082692612964713
633,0.0082285602353962
634,0.0081917452624086
635,0.0081629604765275
636,0.0081418932687285
637,0.0081267225829801
638,0.0081156261650453
639,0.0081067817606872
640,0.0080983671156689
641,0.0080885599757534
642,0.0080755588756429
643,0.0080600182646921
644,0.0080473306472116
645,0.0080434285020545
646,0.008054244308074
647,0.0080857083927146
648,0.0081428745052008
649,0.0082285770568345
650,0.0083453045504054
651,0.0084955454887034
652,0.0086817883745181
653,0.0089065217106393
654,0.0091718888822664
655,0.0094749084854026
656,0.0098086739925277
657,0.0101661790539113
658,0.0105404173198233
659,0.0109288950107246
660,0.0113559680447852
661,0.0118558828354055
662,0.0124629012821145
663,0.0131906412765379
664,0.0139280334754055
665,0.0145187410283362
666,0.0148960638216216
667,0.0151391556990797
668,0.0153405459857288
669,0.0155918715308263
670,0.0159213255108097
671,0.0162526075673461
672,0.0165044621669676
673,0.0166357077640089
674,0.0166277935516353
675,0.0165061132204616
676,0.0163318150236727
677,0.0161670928114947
678,0.0160425360232791
679,0.0158359063438587
680,0.0153788335738815
681,0.0146056164356657
682,0.0138173427800535
683,0.0131465244261683
684,0.0125101729154983
685,0.0118258345413272
686,0.01109809246782
687,0.0103894030020228
688,0.009763267193659
689,0.0092392229856563
690,0.0086684772712131
691,0.0078619547647364
692,0.0067155917689831
693,0.0058364771273222
694,0.0054938797385703
695,0.0054503802818264
696,0.0054587071356255
697,0.0053248667441858
698,0.0050649177476701
699,0.0047466777718137
700,0.0044379644423518
701,0.0042062290803601
702,0.0040828787973401
703,0.0040333795778333
704,0.0040161589221567
705,0.0039896443306273
706,0.0039194903260472
707,0.0038100990048924
708,0.0036788033169255
709,0.0035429452070508
710,0.0034198492453322
711,0.0033212380163825
712,0.0032452279557437
713,0.003187909660102
714,0.0031453737261435
715,0.0031137107505544
716,0.0030890113300207
717,0.0030673660612286
718,0.0030449466322006
719,0.0030195933827928
720,0.0029907129552135
721,0.0029577725873975
722,0.0029202395172795
723,0.0028775809827943
724,0.0028292642218765
725,0.0027747564724609
726,0.0027135249724822
727,0.0026451033315675
728,0.0025712951146599
729,0.0024966847491476
730,0.0024260265373507
731,0.0023640747815894
732,0.0023152144643279
733,0.0022798715752749
734,0.0022560682061232
735,0.0022417926251064
736,0.0022350331004579
737,0.0022337779004112
738,0.0022360152931996
739,0.0022397404370606
740,0.0022432044794437
741,0.002244984404016
742,0.0022436783092347
743,0.0022378842935571
744,0.0022262004554404
745,0.0022072248933418
746,0.0021795557057186
747,0.0021417909910279
748,0.0020925288477271
749,0.0020303673742733
750,0.0
751,0.0
752,0.0
753,0.0
754,0.0
755,0.0
756,0.0
757,0.0
758,0.0
759,0.0
760,0.0
761,0.0
762,0.0
763,0.0
764,0.0
765,0.0
766,0.0
767,0.0
768,0.0
769,0.0
770,0.0
771,0.0
772,0.0
773,0.0
774,0.0
775,0.0
776,0.0
777,0.0
778,0.0
779,0.0
780,0.0
781,0.0
782,0.0
783,0.0
784,0.0
785,0.0
786,0.0
787,0.0
788,0.0
789,0.0
790,0.0
791,0.0
792,0.0
793,0.0
794,0.0
795,0.0
796,0.0
797,0.0
798,0.0
799,0.0
800,0.0
801,0.0
802,0.0
803,0.0
804,0.0
805,0.0
806,0.0
