wavelengths;phytoplankton;cryptophyta;cyanobacteria;diatoms;dinoflagellates;green algae;brown algae;cyanobacteria blue;cyanobacteria red
432;0.0339;0.024148;0.036666;0.036080722;0.05158;0.035343;0.042485113;0.051825789;0.05403089
433;0.0339;0.024306;0.036827;0.036193376;0.051417;0.035438;0.042749695;0.051955514;0.054199888
434;0.0339;0.024435;0.036926;0.036287386;0.051259;0.035491;0.043014277;0.05208524;0.054368887
435;0.0339;0.024519;0.036974;0.036360382;0.051105;0.0355;0.043188621;0.052055233;0.054396699
436;0.0338;0.024548;0.036968;0.036410626;0.050955;0.035463;0.043362965;0.052025226;0.054424511
437;0.0338;0.024519;0.0369;0.036436538;0.05081;0.03538;0.0434133;0.05177512;0.054295344
438;0.0337;0.024444;0.036781;0.036436538;0.050668;0.03525;0.043463635;0.051525014;0.054166177
439;0.0336;0.024311;0.036601;0.036409836;0.050532;0.035074;0.043372726;0.051003831;0.053876762
440;0.0335;0.024122;0.036356;0.036355958;0.050398;0.034855;0.043281816;0.050482648;0.053587348
441;0.0334;0.023886;0.036049;0.03627443;0.050269;0.034594;0.043057222;0.049672038;0.053042043
442;0.0332;0.023616;0.035664;0.03616541;0.050144;0.034295;0.042832628;0.048861428;0.052496738
443;0.0331;0.023319;0.035183;0.036029372;0.050021;0.03396;0.042531686;0.047835762;0.051777248
444;0.0329;0.022993;0.034664;0.035867422;0.049903;0.033596;0.042230743;0.046810096;0.051057757
445;0.0327;0.022666;0.034113;0.035679876;0.049786;0.033204;0.04189272;0.045647582;0.050244676
446;0.0325;0.022352;0.033541;0.035468472;0.049671;0.032791;0.041554697;0.044485067;0.049431595
447;0.0323;0.022045;0.032964;0.035234316;0.049559;0.03236;0.041258799;0.04326788;0.048574321
448;0.0321;0.021764;0.032377;0.034978672;0.049447;0.031916;0.0409629;0.042050693;0.047717047
449;0.0318;0.021516;0.031771;0.034703278;0.049339;0.031465;0.040703307;0.040864977;0.046833777
450;0.0316;0.021306;0.031175;0.034409872;0.049228;0.03101;0.040443715;0.03967926;0.045950508
451;0.0314;0.021138;0.030644;0.03410035;0.049119;0.030557;0.040258394;0.038630089;0.045236682
452;0.0312;0.021003;0.030181;0.033775502;0.049009;0.030108;0.040073073;0.037580919;0.044522855
453;0.031;0.02091;0.029755;0.033437698;0.048898;0.029668;0.039920171;0.036681272;0.043925919
454;0.0307;0.020853;0.029363;0.033088202;0.048786;0.029241;0.039767268;0.035781626;0.043328983
455;0.0305;0.020825;0.029019;0.032729542;0.048671;0.028831;0.039638283;0.03502894;0.042848251
456;0.0304;0.020818;0.028717;0.032362666;0.048554;0.02844;0.039509298;0.034276254;0.042367518
457;0.0302;0.020819;0.02845;0.031989312;0.048433;0.02807;0.039406331;0.033651304;0.04198917
458;0.03;0.020827;0.028222;0.031612166;0.048309;0.027727;0.039303364;0.033026354;0.041610822
459;0.0298;0.020836;0.028012;0.031232808;0.048182;0.02741;0.039184124;0.032493258;0.041307903
