Specific absorption coefficients of seven phytoplankton types.								
Brown group, Green group, Cryptophyta, Cyanobacteria blue and red, Coccolithophores and Case-1 are from the supplemental data of [1]. Values > 720 nm are filled using the closest value.								
Dinflagellates is from WASI [2] and derived from pure cultures grown in the laboratory [4,5,6].								
								
[1] Bi et al. (2023): Bio-geo-optical modelling of natural waters [10.3389/fmars.2023.1196352]								
[2] Gege (2021): The Water Colour Simulator WASI. User manual for WASI version 6.								
[4] Gege (1994): Gew�sseranalyse mit passiver Fernerkundung: Ein Modell zur Interpretation optischer Spektralmessungen. PhD thesis. DLR-Forschungsbericht 94-15, 171 p								
[5] Gege (1995): Water analysis by remote sensing: A model for the interpretation of optical spectral measurements. Technical Translation ESA-TT-1324, 231 pp.								
[6] Gege (1998): Correction of specular reflections at the water surface. Ocean Optics XIV, Conference Papers, Vol. 2.								

								
wavelength_nm,Brown group,Green group,Cryptophyte,Cyanobacteria blue,Cyanobacteria red,Coccolithophore,Dinoflagellates,Case-1
488,0.029480077,0.022749791,0.023341952,0.023538251,0.036049013,0.0563157,0.041414,0.0472157524161268
490,0.028782092,0.022236062,0.023458701,0.023352314,0.035932621,0.054869364,0.040734,0.0461236925063213
492,0.028086934,0.02159333,0.023586678,0.023101072,0.035750167,0.053324003,0.040036,0.0449456933371498
494,0.027372062,0.020808244,0.023649891,0.022733275,0.035510256,0.051662088,0.039328,0.0435722244897098
496,0.026670682,0.019898714,0.023597131,0.022227358,0.035192205,0.049898011,0.03861,0.0418623853145057
498,0.025978635,0.018880907,0.023399364,0.021571437,0.034806601,0.048034478,0.037886,0.0399680742063895
500,0.02531156,0.017769252,0.023049727,0.020763311,0.034395307,0.046072384,0.037156,0.0380554665905449
502,0.024611263,0.016610579,0.022544028,0.019825142,0.033789813,0.044041181,0.036425,0.0360131954208844
504,0.023903928,0.015405508,0.021901689,0.018769267,0.033093938,0.041985844,0.035695,0.0337576044814119
506,0.02323726,0.014179118,0.021143445,0.017616485,0.03242609,0.039951693,0.03497,0.0316520076483003
508,0.022581178,0.012958726,0.020305383,0.016397117,0.031828741,0.037976208,0.034253,0.0296088645507687
510,0.021928225,0.011773892,0.019438951,0.015151004,0.031268432,0.036087196,0.033541,0.0276103644323654
512,0.021254858,0.010685724,0.018619743,0.013951738,0.03095381,0.034287419,0.032835,0.025798585521439
514,0.02057671,0.009668015,0.017873006,0.01279197,0.030649026,0.032577051,0.032144,0.0241666976132534
516,0.019945623,0.008736289,0.017233197,0.011693407,0.030344372,0.03095011,0.031465,0.0226336761084188
518,0.019326008,0.007903222,0.016725605,0.010674495,0.030061409,0.029392192,0.030799,0.0212296023329443
520,0.018693681,0.007178644,0.016366359,0.009750421,0.029852976,0.027906232,0.030144,0.0199793860378124
522,0.018049661,0.006585882,0.016157443,0.008959539,0.029841787,0.026494347,0.029505,0.0188352866672531
524,0.017396558,0.006089491,0.016070213,0.008274853,0.029879469,0.0251628,0.028881,0.0177847359172238
526,0.016777505,0.005680944,0.016090189,0.007694868,0.030014745,0.023919469,0.028274,0.0168493682119801
528,0.016182433,0.005351142,0.016201244,0.007215606,0.030266381,0.02276802,0.027682,0.0160284641399038
530,0.015614417,0.005090417,0.016385605,0.006830605,0.030623187,0.021687829,0.027105,0.0153057800397621
532,0.015024031,0.004895172,0.016606255,0.006539987,0.030901541,0.020676078,0.026542,0.0146582284391079
534,0.014428711,0.004746377,0.016830946,0.006321124,0.031346412,0.019726097,0.025997,0.0140301093634282
536,0.013868372,0.004637265,0.017061285,0.006167738,0.031861494,0.018819042,0.025468,0.0134500087867625
538,0.013324137,0.004558739,0.017285558,0.006070448,0.032406027,0.017929018,0.024954,0.012902880417972
540,0.012799996,0.004499365,0.017478733,0.006016774,0.032994802,0.017053242,0.024456,0.0123918453357973
542,0.012249289,0.004456841,0.017630071,0.006003891,0.033601411,0.016211063,0.023972,0.0119709365974597
544,0.011702108,0.004424999,0.017744697,0.006021873,0.034289236,0.015425503,0.023503,0.011567312539643
546,0.011167376,0.004403921,0.01781953,0.006071568,0.035019568,0.014681495,0.023049,0.0111411922727107
548,0.010639437,0.004394506,0.01785538,0.006154319,0.035764142,0.013977698,0.02261,0.0107173881994776
550,0.010107239,0.00439847,0.017856946,0.006271964,0.036505148,0.013322084,0.022185,0.0102929277992075
552,0.009594787,0.004411723,0.017843833,0.006415416,0.037065286,0.012713164,0.021773,0.00988209329743272
554,0.009108389,0.004439289,0.017826478,0.006584008,0.037619476,0.012130211,0.021374,0.00951220489462134
556,0.008674901,0.004486285,0.017807498,0.006782727,0.038183558,0.011563642,0.020988,0.00915477445968268
558,0.008304128,0.004556422,0.01778932,0.00701208,0.038746664,0.011020299,0.020617,0.00879620627576429
560,0.008029712,0.004652004,0.017774189,0.007268088,0.03927122,0.010532016,0.020257,0.00844133942504012
562,0.007800636,0.004778564,0.017731052,0.007552245,0.039688987,0.010096187,0.019909,0.00822188127806805
564,0.007593213,0.004933076,0.017649052,0.007861299,0.039898921,0.009704327,0.019572,0.0080612713973064
566,0.00742997,0.005113016,0.017511624,0.008192829,0.039798712,0.009365172,0.019248,0.00789776308926784
568,0.00732972,0.005314529,0.01729919,0.008543269,0.039244673,0.009095004,0.018934,0.00776506578556309
570,0.007321958,0.00553243,0.01698916,0.008907916,0.038051733,0.008913138,0.018633,0.00768522940281819
572,0.007399458,0.005764875,0.016565912,0.009294693,0.035856838,0.008831682,0.018342,0.00764207113786724
574,0.007525959,0.006003232,0.016047357,0.009693769,0.032973399,0.008837199,0.018061,0.00760629352154886
576,0.007672699,0.006235457,0.015433907,0.010091431,0.029603484,0.008911336,0.017791,0.00762045848397695
578,0.007815225,0.006455945,0.014730798,0.010478481,0.025978857,0.009027305,0.017531,0.00764864875688724
580,0.007978056,0.006665526,0.013948092,0.010850236,0.022360982,0.009195069,0.017282,0.00769108822869607
582,0.008196311,0.006872479,0.01311662,0.011216901,0.019345815,0.009395268,0.017044,0.0077602624513186
584,0.008411565,0.007074471,0.012258888,0.011566423,0.016781682,0.009587016,0.016816,0.00784148644746366
586,0.008575911,0.007267629,0.011397991,0.011892419,0.01472695,0.009736903,0.016597,0.00792688392160132
588,0.00864748,0.007450208,0.01055326,0.012197385,0.013211993,0.009834412,0.01639,0.00798282077253278
590,0.00864107,0.007622588,0.009740264,0.012492688,0.012239189,0.009888869,0.016193,0.00801646600630478
592,0.008556107,0.007789598,0.008991457,0.012794292,0.011683253,0.009877588,0.016007,0.00803085337280609
594,0.008366406,0.007944144,0.008319261,0.013100651,0.011330552,0.009803404,0.015833,0.00798964590576331
596,0.008130546,0.008086342,0.007735728,0.013420529,0.01109316,0.009676229,0.01567,0.00791727824267441
598,0.007909274,0.008221891,0.007248212,0.013765013,0.010944219,0.009516078,0.01552,0.00783368696668874
600,0.007696366,0.008362072,0.006859368,0.01414751,0.01091794,0.009350656,0.015384,0.00774052068820004
602,0.00751793,0.008511381,0.006591732,0.014572775,0.010766824,0.009201164,0.015261,0.00766106677119175
604,0.007358052,0.008681519,0.006448928,0.015069828,0.010611527,0.009076164,0.015154,0.00760423424289975
606,0.007262554,0.008868005,0.006426297,0.015630367,0.010405731,0.008975191,0.015062,0.00767010753387704
608,0.007310872,0.009066626,0.006508284,0.016240056,0.010207007,0.008841984,0.014989,0.00779044904199187
610,0.007461574,0.009273441,0.006668436,0.01687852,0.010176827,0.008669397,0.014935,0.00787151705841705
612,0.00765207,0.009483713,0.006887944,0.017534794,0.010292661,0.008470095,0.014901,0.00796218555856832
614,0.007850474,0.009695817,0.007137814,0.018198247,0.010343805,0.008269003,0.014888,0.00809012789287432
616,0.008051675,0.009902344,0.007403194,0.018827867,0.010384853,0.008098626,0.014896,0.0082099907003421
