Specific scattering coefficients of seven phytoplankton types from the supplemental data of [1]. Values > 720 nm are filled using the closest value.

[1] Bi et al. (2023): Bio-geo-optical modelling of natural waters [10.3389/fmars.2023.1196352]


wavelength_nm,Brown group,Green group,Cryptophyte,Cyanobacteria blue,Cyanobacteria red,Coccolithophore,Phytoplankton Case 1
518,0.219761268,0.220150213,0.182441061,0.228325505,0.208938591,0.655475588,0.169210212
520,0.220247168,0.220874791,0.182800307,0.229249579,0.209147024,0.655384387,0.169223939
522,0.220739017,0.221467553,0.183009224,0.230040461,0.209158213,0.655137435,0.16936053
524,0.221229504,0.221963944,0.183096454,0.230725147,0.209120531,0.654700109,0.169489977
526,0.221694548,0.222372491,0.183076478,0.231305132,0.208985255,0.65405608,0.169383606
528,0.2221507,0.222702293,0.182965423,0.231784394,0.208733619,0.653200757,0.169108945
530,0.222580132,0.222963018,0.182781062,0.232169395,0.208376813,0.652152206,0.168814482
532,0.223035084,0.223158263,0.182560412,0.232460013,0.208098459,0.650945245,0.16865348
534,0.223500145,0.223307058,0.18233572,0.232678876,0.207653588,0.649645029,0.168503313
536,0.223921407,0.22341617,0.182105381,0.232832262,0.207138506,0.648314171,0.168164686
538,0.224320582,0.223494697,0.181881108,0.232929552,0.206593973,0.6469767,0.16772047
540,0.224696595,0.22355407,0.181687934,0.232983226,0.206005198,0.645610155,0.167211585
542,0.22508715,0.223596594,0.181536595,0.232996109,0.205398589,0.644236916,0.166609226
544,0.225467876,0.223628436,0.18142197,0.232978127,0.204710764,0.642901632,0.165989609
546,0.225837963,0.223649514,0.181347137,0.232928432,0.203980432,0.641585152,0.165408405
548,0.22620359,0.223658929,0.181311287,0.232845681,0.203235858,0.640258096,0.164930223
550,0.226570518,0.223654965,0.18130972,0.232728036,0.202494852,0.638906927,0.164692926
552,0.226916809,0.223641712,0.181322834,0.232584584,0.201934714,0.637507164,0.164583302
554,0.227235146,0.223614146,0.181340189,0.232415992,0.201380524,0.636010139,0.16457776
556,0.22749345,0.22356715,0.181359169,0.232217273,0.200816442,0.634394955,0.164521381
558,0.227680624,0.223497013,0.181377346,0.23198792,0.200253336,0.632646444,0.164341244
560,0.227769417,0.223401431,0.181392477,0.231731912,0.19972878,0.630780299,0.164103924
562,0.227805629,0.223274871,0.181435615,0.231447755,0.199311013,0.628743444,0.163777351
564,0.227813196,0.223120359,0.181517615,0.231138701,0.199101079,0.626532906,0.163702826
566,0.227784097,0.222940419,0.181655043,0.230807171,0.199201288,0.624191863,0.163987445
568,0.2276909,0.222738906,0.181867477,0.230456731,0.199755327,0.62178219,0.163834247
570,0.227506464,0.222521005,0.182177507,0.230092084,0.200948267,0.619383814,0.163372474
572,0.227245993,0.22228856,0.182600755,0.229705307,0.203143162,0.617083289,0.162396511
574,0.226936453,0.222050204,0.18311931,0.229306231,0.206026601,0.614935632,0.161360512
576,0.226611672,0.221817978,0.18373276,0.228908569,0.209396516,0.612924119,0.160553147
578,0.226306275,0.22159749,0.184435868,0.228521519,0.213021143,0.611064879,0.159993057
580,0.225984521,0.221387909,0.185218575,0.228149764,0.216639018,0.609374237,0.15950702
582,0.225609681,0.221180956,0.186050046,0.227783099,0.219654185,0.607789373,0.159025216
584,0.225246917,0.220978964,0.186907778,0.227433577,0.222218318,0.606222335,0.158426381
586,0.224929622,0.220785806,0.187768676,0.227107581,0.22427305,0.604605476,0.157876598
588,0.22469151,0.220603227,0.188613407,0.226802615,0.225788007,0.60290375,0.157371162
590,0.224530549,0.220430847,0.189426403,0.226507312,0.226760811,0.60113422,0.156869463
592,0.224448212,0.220263837,0.19017521,0.226205708,0.227316747,0.599257718,0.156361317
594,0.224466667,0.220109291,0.190847406,0.225899349,0.227669448,0.597293449,0.155954533
596,0.22453685,0.219967093,0.191430938,0.225579471,0.22790684,0.595283464,0.155627605
598,0.224598051,0.219831544,0.191918454,0.225234987,0.228055781,0.593279375,0.155304687
600,0.224654016,0.219691363,0.192307299,0.22485249,0.22808206,0.591304209,0.154854199
602,0.224678701,0.219542054,0.192574935,0.224427225,0.228233176,0.589373879,0.154098028
604,0.224686895,0.219371916,0.192717739,0.223930172,0.228388473,0.587476072,0.153302471
606,0.224636724,0.21918543,0.192740369,0.223369633,0.228594269,0.585575641,0.152596123
608,0.224447857,0.218986809,0.192658382,0.222759944,0.228792993,0.58364538,0.151951104
610,0.224160421,0.218779994,0.192498231,0.22212148,0.228823173,0.581666484,0.151398015
612,0.223841881,0.218569722,0.192278722,0.221465206,0.228707339,0.579653833,0.150851683
614,0.223521969,0.218357618,0.192028852,0.220801753,0.228656195,0.577648536,0.150243038
616,0.223198594,0.218151092,0.191763473,0.220172133,0.228615147,0.575685095,0.149623661
618,0.222900656,0.217959397,0.191498909,0.219595015,0.228540886,0.573793982,0.149022823
620,0.222634338,0.217793632,0.191252961,0.219066725,0.228401387,0.571990692,0.14838143
622,0.222369872,0.217657092,0.191024773,0.218573448,0.228187252,0.570275946,0.147629576
624,0.222083711,0.217541521,0.190813965,0.218137723,0.228016041,0.568648882,0.14685388
626,0.221740529,0.217449764,0.190623498,0.217799832,0.227881258,0.56705404,0.146228405
628,0.221399157,0.217376407,0.190462112,0.217595882,0.227796107,0.5654572,0.145742553
630,0.221117601,0.217307768,0.190344327,0.217557798,0.227793492,0.56384917,0.145322741
632,0.220878601,0.217223295,0.190268247,0.217671727,0.22772803,0.562225273,0.144831964
634,0.220673883,0.217091215,0.190236624,0.217912752,0.227689254,0.560638884,0.144465181
