Specific absorption coefficients of seven phytoplankton types from the supplemental data of [1]. Values > 720 nm are filled using the closest value.

[1] Bi et al. (2023): Bio-geo-optical modelling of natural waters [10.3389/fmars.2023.1196352]






















wavelength_nm,Brown group,Green group,Cryptophyte,Cyanobacteria blue,Cyanobacteria red,Coccolithophore
560,0.008029712,0.004652004,0.017774189,0.007268088,0.03927122,0.010532016
562,0.007800636,0.004778564,0.017731052,0.007552245,0.039688987,0.010096187
564,0.007593213,0.004933076,0.017649052,0.007861299,0.039898921,0.009704327
566,0.00742997,0.005113016,0.017511624,0.008192829,0.039798712,0.009365172
568,0.00732972,0.005314529,0.01729919,0.008543269,0.039244673,0.009095004
570,0.007321958,0.00553243,0.01698916,0.008907916,0.038051733,0.008913138
572,0.007399458,0.005764875,0.016565912,0.009294693,0.035856838,0.008831682
574,0.007525959,0.006003232,0.016047357,0.009693769,0.032973399,0.008837199
576,0.007672699,0.006235457,0.015433907,0.010091431,0.029603484,0.008911336
578,0.007815225,0.006455945,0.014730798,0.010478481,0.025978857,0.009027305
580,0.007978056,0.006665526,0.013948092,0.010850236,0.022360982,0.009195069
582,0.008196311,0.006872479,0.01311662,0.011216901,0.019345815,0.009395268
584,0.008411565,0.007074471,0.012258888,0.011566423,0.016781682,0.009587016
586,0.008575911,0.007267629,0.011397991,0.011892419,0.01472695,0.009736903
588,0.00864748,0.007450208,0.01055326,0.012197385,0.013211993,0.009834412
590,0.00864107,0.007622588,0.009740264,0.012492688,0.012239189,0.009888869
592,0.008556107,0.007789598,0.008991457,0.012794292,0.011683253,0.009877588
594,0.008366406,0.007944144,0.008319261,0.013100651,0.011330552,0.009803404
596,0.008130546,0.008086342,0.007735728,0.013420529,0.01109316,0.009676229
598,0.007909274,0.008221891,0.007248212,0.013765013,0.010944219,0.009516078
600,0.007696366,0.008362072,0.006859368,0.01414751,0.01091794,0.009350656
602,0.00751793,0.008511381,0.006591732,0.014572775,0.010766824,0.009201164
604,0.007358052,0.008681519,0.006448928,0.015069828,0.010611527,0.009076164
606,0.007262554,0.008868005,0.006426297,0.015630367,0.010405731,0.008975191
608,0.007310872,0.009066626,0.006508284,0.016240056,0.010207007,0.008841984
610,0.007461574,0.009273441,0.006668436,0.01687852,0.010176827,0.008669397
