Irradiance reflectance or albedo [-] of six benthic substrate types.

Spectra 1.-4. are averages of in water spectra collected with an ASD Handheld-2 with a customized underwater housing using a Spectralon panel 
as white reference. Substrate and panel were illuminated with a tungsten halogen light source at ~ 10 cm distance (Greg Asner, personal communication).


0. constant; a constant irradiance reflectance of 1.0 or 100 %, after [1] but changed to 1.0 instead 0.1 to enable constraining the sum of all R_b
1. sand; spectrum is an average of 24 single measurements that have been smoothed using a Savitzky-Golay filter (window size=45, polyorder=5)
2. coral; spectrum is an average of 101 single measurements that have been smoothed using a Savitzky-Golay filter (window size=45, polyorder=5)
3. cca (crustose coralline algae); spectrum is an average of 751 single measurements that have been smoothed using a Savitzky-Golay filter (window size=45, polyorder=5)
4. macroalgae; spectrum is an average of 102 single measurements that have been smoothed using a Savitzky-Golay filter (window size=45, polyorder=5)
5. seagrass; seagrass (Zostera marina) from the Wismar bay in the Baltic Sea (Germany); measured in air (Schnalzger 2017 [2]) as provided with WASI6 [1]

[1] Gege (2021): The Water Colour Simulator WASI. User manual for WASI version 6.
[2] Schnalzger (2017): Spektrale Datenbank für den Untergrund der Ostsee sowie Einfluss auf die Bestimmung der Wassertiefe. Master Thesis University of Augsburg, 68 pp.

wavelength_nm,constant,sand,coral,cca,macroalgae,seagrass
471,1.0,0.184655261,0.071275238,0.129741227,0.027562388,0.009812
472,1.0,0.185541685,0.071587436,0.130064528,0.027424117,0.00983
473,1.0,0.186426565,0.071915608,0.1303525,0.027301231,0.00985
474,1.0,0.187307272,0.072251423,0.130565454,0.027211457,0.00987
475,1.0,0.188181427,0.072596085,0.13071223,0.027151933,0.009893
476,1.0,0.189042242,0.07294432,0.130803462,0.027135067,0.009918
477,1.0,0.189876726,0.073288174,0.130838665,0.027162367,0.009945
478,1.0,0.190684397,0.07362344,0.130788661,0.027209369,0.009975
479,1.0,0.191465807,0.073948141,0.130647201,0.027260394,0.01001
480,1.0,0.192223565,0.074260922,0.130427124,0.0272989,0.01004
481,1.0,0.192957923,0.074553327,0.130093508,0.027325871,0.01008
482,1.0,0.193666594,0.074821868,0.129621696,0.027349988,0.01012
483,1.0,0.194348161,0.075070453,0.129051879,0.027379139,0.01016
484,1.0,0.195003032,0.075297113,0.128412653,0.02743438,0.0102
485,1.0,0.195635293,0.075493206,0.127713802,0.027540767,0.01023
486,1.0,0.196249941,0.075665009,0.126995545,0.027671782,0.01027
487,1.0,0.196855375,0.075819075,0.126264549,0.027791496,0.01031
488,1.0,0.197452842,0.075955302,0.125464963,0.027877213,0.01035
489,1.0,0.198048142,0.076075828,0.124652264,0.027954788,0.0104
490,1.0,0.198651621,0.076185522,0.12390603,0.028050966,0.01047
491,1.0,0.199273283,0.076288974,0.123226882,0.028143224,0.01054
492,1.0,0.199919324,0.076392654,0.122652382,0.028256257,0.01063
493,1.0,0.20059743,0.076502853,0.122240086,0.028431264,0.01073
494,1.0,0.201305268,0.076624836,0.121915756,0.028637659,0.01086
495,1.0,0.202041393,0.076763948,0.121655992,0.028857964,0.01101
496,1.0,0.202816165,0.076921389,0.121590126,0.029119714,0.01118
497,1.0,0.203632459,0.077099468,0.121730565,0.029432665,0.01138
498,1.0,0.204486673,0.077299366,0.122037619,0.029795878,0.01161
499,1.0,0.205391784,0.077524293,0.122544793,0.030161976,0.01186
500,1.0,0.206340278,0.077776902,0.123266421,0.030544322,0.01215
501,1.0,0.207314674,0.078061089,0.124185032,0.031032253,0.01247
502,1.0,0.208299927,0.07836949,0.125236059,0.031565456,0.01282
503,1.0,0.209297743,0.078701208,0.126369298,0.032080786,0.01321
504,1.0,0.21032615,0.07905219,0.127629603,0.03264651,0.01364
505,1.0,0.211391126,0.07941689,0.129017125,0.033260652,0.01411
506,1.0,0.212487799,0.079789304,0.130500564,0.033874591,0.01462
507,1.0,0.213592962,0.080170569,0.132026443,0.034487947,0.01518
508,1.0,0.214699014,0.080560055,0.133578942,0.035100242,0.01578
509,1.0,0.215819665,0.080956309,0.135202188,0.035701748,0.01643
510,1.0,0.216954499,0.081348891,0.136871553,0.036315864,0.01712
511,1.0,0.218093883,0.081728407,0.13853093,0.036950704,0.01786
